index,lambda_num,degree_l,lambda_exact,abs_error
0,8.316509319988666e-15,0,0.0,8.316509319988666e-15
1,1.9999999514603963,1,2.0,4.853960366979493e-08
2,1.9999999514604114,1,2.0,4.8539588570761794e-08
3,1.9999999514604194,1,2.0,4.8539580577156016e-08
4,5.997862787977648,2,6.0,0.002137212022351953
5,5.997862787977657,2,6.0,0.0021372120223430713
6,5.997862787977671,2,6.0,0.0021372120223288604
7,5.997862787977678,2,6.0,0.002137212022321755
8,5.997862787977692,2,6.0,0.0021372120223084323
9,11.989110811955083,3,12.0,0.01088918804491712
10,11.989110811955092,3,12.0,0.010889188044908238
11,11.989110811955118,3,12.0,0.010889188044881593
12,11.989110811955129,3,12.0,0.010889188044870934
13,11.989590711547148,3,12.0,0.01040928845285194
14,11.989590711547171,3,12.0,0.010409288452828847
15,11.989590711547226,3,12.0,0.01040928845277378
16,19.96654768756078,4,20.0,0.03345231243921987
17,19.9665476875608,4,20.0,0.03345231243919855
18,19.96654768756082,4,20.0,0.03345231243918079
19,19.966547687560904,4,20.0,0.03345231243909552
